Trial #,Data Transfer Time (ns),Data Size (Bytes),Data Transfer Rate (KB/s)1,1020100,1000000,9.573203607489463e-13
2,2059800,1000000,4.741054956791921e-13
3,1037700,1000000,9.410836465259708e-13
4,995600,1000000,9.808783648051426e-13
5,1950900,1000000,5.005702496283767e-13
6,1336800,1000000,7.305225164572113e-13
7,1012600,1000000,9.644109223780368e-13
8,1964100,1000000,4.972060994857695e-13
9,1001000,1000000,9.75586913086913e-13
10,0,1000000,0
11,2009700,1000000,4.859245160969299e-13
12,999700,1000000,9.76855556667e-13
13,1149700,1000000,8.494063668783161e-13
14,0,1000000,0
15,1024800,1000000,9.529298399687744e-13
16,1168700,1000000,8.355972448019167e-13
17,1666300,1000000,5.860664346156155e-13
18,985000,1000000,9.914340101522842e-13
19,2035800,1000000,4.796947146085077e-13
20,1239600,1000000,7.87804533720555e-13
21,1954700,1000000,4.99597124878498e-13
22,1988200,1000000,4.911792073232068e-13
23,1521300,1000000,6.419263130217578e-13
24,586700,1000000,1.6645005965570137e-12
25,1406600,1000000,6.942716479454003e-13
26,1122500,1000000,8.69988864142539e-13
27,995300,1000000,9.811740178840552e-13
28,2045300,1000000,4.774666308121058e-13
29,1201900,1000000,8.125156002995258e-13
30,1924500,1000000,5.074369966224994e-13
31,988100,1000000,9.883235502479506e-13
32,1507300,1000000,6.478886087706494e-13
33,1470600,1000000,6.640571875424996e-13
34,957800,1000000,1.0195891626644393e-12
35,1054700,1000000,9.25914952119086e-13
36,1210700,1000000,8.066098125051623e-13
37,997700,1000000,9.788137716748522e-13
38,1934400,1000000,5.048400020678246e-13
39,829300,1000000,1.1775744603882791e-12
40,0,1000000,0
41,999800,1000000,9.76757851570314e-13
42,996300,1000000,9.801892000401486e-13
43,1054000,1000000,9.265298861480076e-13
44,1996700,1000000,4.890882456052487e-13
45,997300,1000000,9.792063571643437e-13
46,1054700,1000000,9.25914952119086e-13
47,999700,1000000,9.76855556667e-13
48,2058200,1000000,4.744740549995142e-13
49,0,1000000,0
50,1137100,1000000,8.588184856213173e-13
